,x,y
0,9.174986,10.921031
1,9.1980295,10.958103
2,9.244855,10.985102
3,9.246688,11.014023
4,9.192375,11.067568
5,9.2470875,10.956749
6,9.176482,10.900468
7,9.244228,10.963718
8,9.548085,11.16124
9,9.202008,10.940494
10,9.260111,10.959982
11,8.791545,10.99775
12,8.8184,11.138864
13,9.010697,11.11614
14,8.833192,10.916761
15,8.3016405,11.346698
16,8.025055,11.139491
17,7.960427,11.070975
18,7.9895425,11.048943
19,8.017467,11.026075
20,7.96024,11.102984
21,8.014301,11.053334
22,10.956782,9.454794
23,10.785294,9.595237
24,11.321611,9.533375
25,10.846667,11.017514
26,10.787682,10.773489
27,10.588149,10.654991
28,10.857216,10.657642
29,10.981017,10.686717
30,9.786395,14.807267
31,10.436018,14.668447
32,10.464561,14.636199
33,10.834251,13.996189
34,10.831607,17.005062
35,7.320337,18.101006
36,7.4232903,18.006186
37,7.2371736,18.270168
38,7.3232775,17.859846
39,11.405698,13.142845
40,13.815527,13.553385
41,12.475229,13.398033
42,5.9290676,14.575275
43,5.9730396,14.454347
44,5.9309945,14.460427
45,5.69593,14.289363
46,5.932713,14.478587
47,6.0081873,14.5524
48,5.971773,14.462448
49,6.0501604,14.595548
50,5.9536715,14.502519
51,5.981071,14.480229
52,5.9698086,14.471904
53,5.9490733,14.499524
54,5.8339543,14.494224
55,5.305841,14.307027
56,5.871398,14.448648
57,5.9468956,14.442333
58,5.936437,14.489513
59,13.455404,12.351449
60,12.03531,14.087593
61,11.99422,14.129679
62,12.054031,13.150096
63,7.1022525,18.123718
64,7.91069,18.818773
65,7.9201474,18.772352
66,7.2761564,18.246326
67,7.0903482,18.18171
68,7.2149506,18.285357
69,7.0843596,18.287426
70,7.0318656,18.30782
71,6.9519196,18.22055
72,7.135386,18.190346
73,8.156123,18.468616
74,8.173733,18.419334
75,10.855663,13.832608
76,10.766411,13.79622
77,11.98353,14.123209
78,12.215751,14.260608
79,12.277984,14.352464
80,11.836194,14.304251
81,13.809828,14.06575
82,10.455823,12.507788
83,10.560169,12.637173
84,9.618005,15.789978
85,10.556953,12.586997
86,10.820477,12.01243
87,11.673064,10.401356
88,11.923118,10.498352
89,11.913813,10.520535
90,11.829189,10.625272
91,11.883941,10.621132
92,11.205773,15.924849
